,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
2,Mohamed,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Mohamed Elneny
3,Fabio,Vieira,0,3,11,47,1,27.5,41,29,0,37,9.7,0,0,0,0.1,54,MID,Fábio Ferreira Vieira
5,Kai,Havertz,0,0,7,311,3,80,22.6,55,0,17,15.7,1,0,1,2.2,73,MID,Kai Havertz
7,Jorge Luiz,Frello Filho,0,0,3,18,1,7.3,8,0,0,12,1.5,0,0,0,0.2,54,MID,Jorge Luiz Frello Filho
9,Marcus,Oliveira Alencar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,MID,Marcus Oliveira Alencar
10,Gabriel,Martinelli,0,2,15,333,4,85.2,59.8,127,0,59,27.2,1,0,0,10.4,79,MID,Gabriel Martinelli Silva
12,Martin,Odegaard,2,0,22,352,3,61,106.6,105,3,77,27.2,1,0,0,21.3,85,MID,Martin Ødegaard
13,Thomas,Partey,0,0,6,235,2,58.2,53.4,15,0,55,12.7,1,0,0,0.3,49,MID,Thomas Partey
14,Nicolas,Pepe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,MID,Nicolas Pépé
17,Bukayo,Saka,2,1,25,358,4,207.9,150.4,166,4,100,52.4,1,0,1,65.7,87,MID,Bukayo Saka
19,Emile,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,53,MID,Emile Smith Rowe
22,Leandro,Trossard,0,0,2,62,2,54.7,14.8,10,0,18,7.9,0,0,0,2.1,67,MID,Leandro Trossard
24,Granit,Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,MID,Granit Xhaka
27,Declan,Rice,1,0,17,360,4,35.8,107.8,57,3,89,20.1,1,0,0,5,54,MID,Declan Rice
28,Reiss,Nelson,0,0,1,1,0,0.8,2.2,4,0,4,0.7,0,0,0,0,49,MID,Reiss Nelson
32,Leon,Bailey,1,1,16,153,4,31.7,57.8,31,3,47,12,1,0,0,1.7,55,MID,Leon Bailey
33,Emiliano,Buendia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,58,MID,Emiliano Buendía Stati
36,Philippe,Coutinho Correia,0,0,2,24,1,2.8,4,12,0,7,1.8,0,0,0,0.3,59,MID,Philippe Coutinho Correia
38,Leander,Dendoncker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Leander Dendoncker
41,Douglas Luiz,Soares de Paulo,1,0,12,309,9,72.9,73.8,40,0,71,18.6,1,0,2,2,54,MID,Douglas Luiz Soares de Paulo
44,Tim,Iroegbunam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Tim Iroegbunam
45,Boubacar,Kamara,0,0,9,360,9,55.9,39,9,1,57,10.4,1,0,1,0.1,50,MID,Boubacar Kamara
48,John,McGinn,1,0,16,333,7,52.1,55.8,62,2,62,17,1,0,0,0.6,55,MID,John McGinn
