,name,Min,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Aaron Ramsey,23.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,5.0,0.0,5.0,0.0
1,Abdoulaye Doucoure,90.0,3.0,2.0,46.5,0.5,0.0,2.0,0.8500000000000001,0.8500000000000001,0.5,3.0,0.5,29.5,37.0,80.1,3.0,25.5,3.0,37.0,0.5
2,Adam Lallana,10.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,1.0,7.0,0.0,14.0,0.0
3,Aleksandar Mitrovic,33.0,2.0,1.0,12.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,1.0,4.0,8.0,50.0,1.0,5.0,0.0,8.0,3.0
4,Alexander Isak,67.66666666666667,1.3333333333333333,1.3333333333333333,14.666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.03333333333333333,1.6666666666666667,0.0,8.0,10.333333333333334,78.33333333333333,1.0,10.333333333333334,1.0,10.333333333333334,0.6666666666666666
5,Anass Zaroury,29.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,83.3,0.0,6.0,0.0,12.0,0.0
6,Anthony Martial,43.666666666666664,0.6666666666666666,0.3333333333333333,14.666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,10.0,11.0,92.8,1.3333333333333333,10.0,0.6666666666666666,11.0,0.0
7,Antwoine Hackford,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,2.0,0.0
8,Arnaut Danjuma,19.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,3.0,5.0,60.0,2.0,4.0,1.0,5.0,0.0
9,Benie Adama Traore,53.0,0.0,0.0,15.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,5.0,8.5,61.900000000000006,0.5,10.5,1.0,8.5,0.5
10,Benson Manuel,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,7.0,1.0,5.0,0.0
11,Beto,90.0,4.0,0.0,40.0,3.0,0.0,0.0,0.3,0.3,0.2,9.0,1.0,10.0,19.0,52.6,2.0,22.0,3.0,19.0,6.0
12,Bryan Mbeumo,90.0,2.0,1.0,41.0,0.0,1.0,0.0,1.4,0.6,0.0,1.0,1.0,22.0,33.0,66.7,6.0,25.0,1.0,33.0,0.0
13,Callum Wilson,25.0,1.75,1.25,8.25,0.0,0.0,0.25,0.35,0.35,0.0,1.25,0.25,2.75,4.0,58.75,0.0,4.75,0.25,4.0,0.5
14,Cameron Archer,74.0,2.0,1.0,14.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,6.0,6.0,100.0,0.0,13.0,1.0,6.0,1.0
15,Carlton Morris,90.0,2.6666666666666665,0.3333333333333333,40.0,0.6666666666666666,0.0,0.6666666666666666,0.5,0.2333333333333333,0.03333333333333333,3.6666666666666665,0.6666666666666666,16.666666666666668,28.666666666666668,60.4,4.0,16.333333333333332,1.3333333333333333,28.666666666666668,0.6666666666666666
16,Chris Wood,11.0,0.25,0.25,6.5,0.0,0.25,0.0,0.025,0.025,0.025,0.25,0.0,2.5,4.75,42.5,0.25,3.25,0.25,4.75,0.0
17,Cody Gakpo,26.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,4.0,0.0,3.0,0.0
18,Danny Ings,10.0,0.3333333333333333,0.0,6.666666666666667,0.0,0.0,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,2.3333333333333335,4.0,57.23333333333333,0.3333333333333333,4.0,0.0,4.0,0.3333333333333333
19,Danny Welbeck,66.5,3.0,1.0,29.5,0.0,0.0,1.5,0.25,0.25,0.05,4.5,1.0,15.5,18.0,86.05000000000001,1.5,19.0,2.5,18.0,0.5
20,Darwin Nunez,27.0,2.25,0.5,12.5,0.5,0.0,0.25,0.375,0.375,0.125,0.75,0.25,4.25,6.25,65.9,1.25,8.25,0.75,6.25,0.5
21,Diogo Jota,65.0,2.0,0.0,28.0,1.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,14.0,18.0,77.8,2.0,10.0,1.0,18.0,1.0
22,Dominic Calvert Lewin,37.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,3.0,0.0,4.0,0.0
23,Dominic Solanke,90.0,2.0,1.3333333333333333,29.666666666666668,0.3333333333333333,0.3333333333333333,0.0,0.5666666666666667,0.5666666666666667,0.06666666666666667,3.0,0.3333333333333333,11.333333333333334,14.0,81.16666666666667,2.0,17.333333333333332,1.3333333333333333,14.0,0.3333333333333333
24,Eddie Nketiah,67.75,2.75,0.5,24.5,0.25,0.25,0.5,0.35,0.35,0.05,3.5,0.5,13.5,15.75,85.225,1.25,16.0,1.0,15.75,0.75
25,Elijah Adebayo,67.33333333333333,1.0,0.0,19.333333333333332,0.0,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,1.0,0.0,8.0,10.333333333333334,74.46666666666667,1.6666666666666667,10.333333333333334,0.3333333333333333,10.333333333333334,1.0
26,Erling Haaland,87.25,4.5,2.25,20.0,0.0,0.25,0.25,1.175,0.775,0.3,2.25,0.5,6.25,9.75,64.375,0.75,13.5,1.0,9.75,0.25
27,Evan Ferguson,51.75,3.25,2.25,20.0,0.0,0.0,0.75,0.6,0.6,0.025,1.25,0.0,11.0,12.25,83.725,1.25,14.0,0.5,12.25,0.75
28,Fabio Silva,53.5,1.75,0.75,21.0,1.25,0.5,0.0,0.25,0.25,0.07500000000000001,2.25,0.0,12.5,14.75,87.025,2.0,12.5,1.0,14.75,0.5
29,Gabriel Jesus,15.0,1.0,1.0,9.0,0.0,0.0,0.0,0.8,0.8,0.0,2.0,1.0,6.0,6.0,100.0,1.0,5.0,2.0,6.0,3.0
30,Jacob Brown,23.5,0.5,0.5,7.0,0.5,0.0,0.5,0.05,0.05,0.0,0.0,0.0,1.5,4.5,21.45,0.0,3.5,1.0,4.5,0.0
31,Jadon Sancho,31.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,13.0,76.9,1.0,14.0,4.0,13.0,0.0
32,Jay Rodriguez,10.0,2.0,0.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,2.0,0.0
33,Jean Philippe Mateta,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.35,1.5,1.0,4.0,5.0,76.2,1.0,5.5,0.0,5.0,0.0
34,Jhon Duran,13.333333333333334,1.0,0.3333333333333333,7.666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.0,0.6666666666666666,0.3333333333333333,3.6666666666666665,5.333333333333333,62.6,0.3333333333333333,4.0,1.3333333333333333,5.333333333333333,0.3333333333333333
35,Kevin Schade,19.0,1.0,0.0,5.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0
36,Kieffer Moore,16.5,0.5,0.0,6.5,0.0,0.0,0.0,0.1,0.1,0.0,0.5,0.0,3.5,6.0,62.5,1.0,1.0,0.0,6.0,0.0
37,Leandro Trossard,45.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.7,6.0,0.0,15.0,21.0,71.4,1.0,14.0,1.0,21.0,0.0
38,Lyle Foster,80.0,1.0,1.0,19.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,10.0,14.0,71.4,0.0,12.0,3.0,14.0,0.0
