,name,season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Att,Cmp%,PrgP,Carries,PrgC,Att,Att,Succ,Match Report,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
0,Erling Haaland,2023/2024,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,['FW'],79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,0,81.8,1,15,1,11,0,0,Match Report,6,1,39,349,2,71.8,224.4,248.0,6,161,54.4,2,0,0,91.9,141,FWD
1,Erling Haaland,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y,['FW'],90,0,0,0,0,4,2,0,0,22,0,1,1,0.4,0.4,0.1,2,0,6,11,1,54.5,1,15,3,11,1,0,Match Report,6,1,39,349,2,71.8,224.4,248.0,6,161,54.4,2,0,0,91.9,141,FWD
2,Erling Haaland,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y,['FW'],90,1,0,0,1,7,3,0,0,23,0,0,0,2.1,1.3,0.1,2,1,6,11,1,54.5,0,15,0,11,1,1,Match Report,6,1,39,349,2,71.8,224.4,248.0,6,161,54.4,2,0,0,91.9,141,FWD
3,Erling Haaland,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,['FW'],90,3,1,1,1,3,2,0,0,17,0,0,0,1.6,0.8,0.7,2,1,4,6,1,66.7,1,9,0,6,1,0,Match Report,6,1,39,349,2,71.8,224.4,248.0,6,161,54.4,2,0,0,91.9,141,FWD
4,Cody Gakpo,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"['FW', 'LM']",57,0,0,0,0,0,0,0,0,19.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,4.0,62.5,2.0,14.0,2.0,8.0,4.0,1.0,Match Report,0,0,6,209,3,33.6,18.2,21.0,0,18,7.1,0,0,0,3.7,73,FWD
5,Cody Gakpo,2023/2024,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,['FW'],26,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,66.7,1.0,4.0,0.0,3.0,0.0,0.0,Match Report,0,0,6,209,3,33.6,18.2,21.0,0,18,7.1,0,0,0,3.7,73,FWD
6,Michail Antonio,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,['FW'],77,0,0,0,0,0,0,1,0,29.0,1.0,0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,14.0,5.0,50.0,1.0,17.0,1.0,14.0,5.0,3.0,Match Report,2,0,19,309,1,21.5,85.8,72.0,4,69,17.9,3,0,1,5.5,61,FWD
7,Michail Antonio,2023/2024,2023-08-20,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,['FW'],75,1,0,0,0,2,1,0,0,18.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,5.0,11.0,0.0,45.5,1.0,15.0,1.0,11.0,0.0,0.0,Match Report,2,0,19,309,1,21.5,85.8,72.0,4,69,17.9,3,0,1,5.5,61,FWD
8,Michail Antonio,2023/2024,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Brighton,Y,['FW'],78,1,0,0,0,3,2,0,0,22.0,1.0,0,1.0,0.7,0.7,0.3,3.0,2.0,7.0,10.0,4.0,70.0,0.0,11.0,3.0,10.0,4.0,3.0,Match Report,2,0,19,309,1,21.5,85.8,72.0,4,69,17.9,3,0,1,5.5,61,FWD
9,Michail Antonio,2023/2024,2023-09-01,Fri,Premier League,Matchweek 4,Away,W 2–1,West Ham,Luton Town,Y,['FW'],79,0,0,0,0,0,0,0,0,26.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,16.0,20.0,2.0,80.0,2.0,17.0,0.0,20.0,2.0,2.0,Match Report,2,0,19,309,1,21.5,85.8,72.0,4,69,17.9,3,0,1,5.5,61,FWD
10,Danny Ings,2023/2024,2023-08-12,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,N,['FW'],13,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,1,4,2,25.0,0,5,0,4,2,1,Match Report,0,0,3,27,2,0.6,8.2,7.0,0,5,1.6,0,0,0,1.0,58,FWD
