,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP
0,Ederson,br BRA,GK,30-023,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,
1,Julián Álvarez,ar ARG,MF,23-221,4.0,4,359.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,0.6,2.4,9.0,13.0,26.0,0.5,0.25,0.75,0.5,0.75,0.45,0.15,0.6,0.45,0.6,Matches,
2,Kyle Walker,eng ENG,DF,33-104,4.0,4,359.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,11.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.11,0.01,0.11,Matches,
3,Erling Haaland,no NOR,FW,23-050,4.0,4,349.0,3.9,6.0,1.0,7.0,5.0,1.0,2.0,0.0,0.0,4.6,3.1,1.1,4.2,4.0,3.0,14.0,1.55,0.26,1.81,1.29,1.55,1.19,0.29,1.48,0.79,1.08,Matches,
4,Rodri,es ESP,MF,27-079,4.0,4,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,5.0,29.0,8.0,0.52,0.26,0.78,0.52,0.78,0.21,0.05,0.27,0.21,0.27,Matches,
5,Mateo Kovačić,hr CRO,MF,29-126,4.0,3,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,11.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.24,0.04,0.24,Matches,
6,Phil Foden,eng ENG,"FW,MF",23-104,4.0,3,274.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.6,9.0,19.0,25.0,0.0,0.99,0.99,0.0,0.99,0.19,0.33,0.52,0.19,0.52,Matches,
7,Manuel Akanji,ch SUI,DF,28-052,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,
8,Rúben Dias,pt POR,DF,26-118,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,
9,Nathan Aké,nl NED,DF,28-203,3.0,3,258.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,3.0,11.0,2.0,0.35,0.0,0.35,0.35,0.35,0.14,0.0,0.14,0.14,0.14,Matches,
