,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
3,Erling Haaland,no NOR,FW,23-050,4,4,349,3.9,6,1,7,5,1,2,0,0,4.6,3.1,1.1,4.2,4,3,14,1.55,0.26,1.81,1.29,1.55,1.19,0.29,1.48,0.79,1.08
12,Jack Grealish,eng ENG,FW,27-364,2,2,180,2,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.8,16,3,24,0,0.5,0.5,0,0.5,0.19,0.23,0.41,0.19,0.41
14,Jeremy Doku,be BEL,FW,21-105,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
16,Sergio Gómez,es ESP,FW,23-005,1,0,15,0.2,0,1,1,0,0,0,0,0,0,0,0.2,0.2,1,1,2,0,6,6,0,6,0,1.13,1.13,0,1.13
20,Oscar Bobb,no NOR,FW,20-059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2,Dejan Kulusevski,se SWE,FW,23-137,4,4,352,3.9,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.9,20,10,39,0.26,0,0.26,0.26,0.26,0.12,0.11,0.22,0.12,0.22
6,Son Heung-min,kr KOR,FW,31-063,4,4,325,3.6,3,0,3,3,0,0,0,0,1.4,1.4,0.9,2.3,13,24,42,0.83,0,0.83,0.83,0.83,0.39,0.25,0.64,0.39,0.64
9,Richarlison,br BRA,FW,26-122,4,3,237,2.6,0,0,0,0,0,0,1,0,0.4,0.4,0,0.5,3,3,16,0,0,0,0,0,0.17,0.01,0.18,0.17,0.18
13,Manor Solomon,il ISR,FW,24-047,2,1,70,0.8,0,2,2,0,0,0,0,0,0.1,0.1,0.5,0.6,5,1,9,0,2.57,2.57,0,2.57,0.15,0.64,0.79,0.15,0.79
14,Ivan Perišić,hr CRO,FW,34-219,4,0,92,1,0,0,0,0,0,0,1,0,0,0,0.7,0.7,11,9,15,0,0,0,0,0,0.03,0.68,0.71,0.03,0.71
3,Mohamed Salah,eg EGY,FW,31-086,4,4,341,3.8,2,2,4,2,0,1,0,0,2.5,1.5,1.3,2.9,8,12,23,0.53,0.53,1.06,0.53,1.06,0.66,0.36,1.01,0.41,0.76
6,Luis Díaz,co COL,FW,26-239,4,4,257,2.9,2,0,2,2,0,0,0,0,1.4,1.4,0.3,1.7,12,6,23,0.7,0,0.7,0.7,0.7,0.47,0.12,0.59,0.47,0.59
13,Darwin Núñez,uy URU,FW,24-077,4,1,108,1.2,2,1,3,2,0,0,1,0,1.6,1.6,0.5,2.1,3,5,10,1.67,0.83,2.5,1.67,2.5,1.34,0.42,1.76,1.34,1.76
18,Ben Doak,sct SCO,FW,17-302,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Michail Antonio,jm JAM,FW,33-165,4,4,309,3.4,2,0,2,2,0,0,1,0,0.9,0.9,0.3,1.2,5,4,14,0.58,0,0.58,0.58,0.58,0.25,0.09,0.34,0.25,0.34
14,Danny Ings,eng ENG,FW,31-048,3,0,30,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,6,0,0,0,0,0,0.37,0,0.37,0.37,0.37
4,Bukayo Saka,eng ENG,FW,22-004,4,4,358,4,2,1,3,1,1,1,1,0,2.2,1.4,1.2,2.7,26,17,67,0.5,0.25,0.75,0.25,0.5,0.56,0.31,0.87,0.36,0.67
6,Gabriel Martinelli,br BRA,FW,22-083,4,4,333,3.7,0,2,2,0,0,0,0,0,0.7,0.7,0.3,1,17,14,52,0,0.54,0.54,0,0.54,0.19,0.09,0.28,0.19,0.28
8,Eddie Nketiah,eng ENG,FW,24-102,4,3,271,3,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.6,4,5,17,0.66,0,0.66,0.66,0.66,0.47,0.06,0.53,0.47,0.53
