name,name,xP
Aaron Hickey,,2.82
Aaron Ramsdale,,2.64
Aaron Ramsey,,0.99
Abdoulaye Doucoure,,5.839000000000006
Adama Traore,,1.5
Aleksandar Mitrovic,,1.95
Alex Iwobi,,3.800000000000007
Alexis Mac Allister,,2.9
Alfie Doughty,,0.92
Alisson,,2.67
Amadou Onana,,4.3469999999999995
Amarii Bell,,2.74
Ameen Al Dakhil,,2.9
Anass Zaroury,,0.85
Andreas Pereira,,2.93
Andrew Robertson,,3.1300000000000057
Antoine Semenyo,,2.0316150146246343
Antonee Robinson,,2.95
Arnaut Danjuma,,5.190000000000005
Ashley Young,,3.0700000000000056
Axel Disasi,,3.78
Aymeric Laporte,,0.89
Ben Chilwell,,5.216999999999993
Ben Doak,,0.99
Ben Godfrey,,0.97
Ben Mee,,2.260000000000004
Ben White,,2.9100000000000055
Benson Manuel,,0.94
Bernardo Silva,,3.343000000000002
Bernd Leno,,2.71
Bertrand Traore,,0.99
Beto,,4.161000000000005
Bobby Reid,,4.792000000000001
Boubacar Kamara,,2.9600000000000057
Bryan Mbeumo,,6.682000000000008
Bukayo Saka,,5.230999999999991
Calvin Bassey,,0.95
Cameron Archer,,0.99
Carlton Morris,,3.78
Carney Chukwuemeka,,2.93
Cauley Woodrow,,1.2999999999999985
Cheick Doucoure,,2.9
Chiedozie Ogbene,,1.0
Chris Mepham,,0.92
Christian Norgaard,,3.150000000000006
Cody Gakpo,,0.94
Cole Palmer,,0.97
Connor Roberts,,2.44
Conor Gallagher,,3.7000000000000073
Curtis Jones,,0.91
Dara OShea,,2.83
Darwin Nunez,,3.312000000000006
David Brooks,,2.6950000000000047
Declan Rice,,3.7200000000000073
Diego Carlos,,1.44
Diogo Jota,,2.2028075073123206
Dominic Calvert Lewin,,0.98
Dominic Solanke,,5.070000000000006
Dominik Szoboszlai,,3.7500000000000075
Douglas Luiz,,3.1600000000000055
Dwight McNeil,,0.9
Eberechi Eze,,5.412000000000005
Eddie Nketiah,,4.14
Ederson,,2.65
Elijah Adebayo,,3.083
Emiliano Martinez,,2.65
Enzo Fernandez,,4.236000000000005
Erling Haaland,,7.667999999999995
Ethan Pinnock,,4.040000000000006
Ezri Konsa,,2.82
Fabio Vieira,,2.5060000000000002
Frank Onyeka,,2.4660000000000037
Gabriel Dos Santos,,0.94
Gabriel Jesus,,2.92
Gabriel Martinelli,,4.200000000000007
Hamed Junior Traore,,1.5
Hannes Delcroix,,2.49
Harrison Reed,,3.170000000000006
Harry Wilson,,3.190000000000006
Harvey Elliott,,0.91
Ian Maatsen,,1.0
Ibrahima Konate,,2.81
Idrissa Gana Gueye,,2.82
Illia Zabarnyi,,2.79
Issa Diop,,2.76
Issa Kabore,,1.0599999999999983
Jack Cork,,0.96
Jack Grealish,,4.519000000000007
Jacob Brown,,1.48
Jacob Bruun Larsen,,0.94
Jaden Philogene Bidace,,1.0
Jaidon Anthony,,0.93
Jakub Kiwior,,2.0
James Garner,,3.150000000000006
James Hill,,0.88
James Mcatee,,0.99
James Tarkowski,,3.3
James Tomkins,,1.0
James Trafford,,2.93
Jarrad Branthwaite,,1.83
Jarrell Quansah,,0.97
Jay Rodriguez,,3.5
Jean Philippe Mateta,,1.9000000000000035
Jefferson Lerma,,3.490000000000003
Jeffrey Schlupp,,3.640000000000007
Jeremy Doku,,1.87
Jesuran Rak Sakyi,,1.299999999999999
Jhon Duran,,1.85
Joachim Andersen,,3.17
Joao Palhinha,,0.92
Joe Gomez,,0.81
Joe Rothwell,,2.91
Joel Matip,,2.52
Joel Ward,,2.74
Johann Berg Gudmundsson,,1.2099999999999982
John McGinn,,4.110000000000007
Jordan Ayew,,4.570000000000008
Jordan Beyer,,2.93
Jordan Pickford,,2.48
Jorginho,,0.99
Josh Brownhill,,2.0865303217419577
Josh Cullen,,3.0900000000000056
Josh Dasilva,,1.0
Josko Gvardiol,,2.77
Julian Alvarez,,5.469000000000007
Jurrien Timber,,0.79
Justin Kluivert,,1.47
Kai Havertz,,4.506000000000007
Kalvin Phillips,,0.93
Keane Lewis Potter,,2.5
Kenny Tete,,2.88
Kevin De Bruyne,,1.5899999999999972
Kevin Schade,,2.1300000000000034
Kieffer Moore,,1.5
Kostas Tsimikas,,0.95
Kristoffer Ajer,,2.400000000000004
Kyle Walker,,3.1300000000000057
Leandro Trossard,,1.8700000000000034
Leon Bailey,,2.0799999999999965
Lesley Ugochukwu,,1.0
Levi Colwill,,3.7400000000000078
Lewis Cook,,1.91
Lewis Dobbin,,0.94
Lloyd Kelly,,0.92
Luca Koleosho,,3.8400000000000047
Lucas Digne,,3.5300000000000034
Luis Diaz,,4.796000000000007
Luke Berry,,1.0
Luke Harris,,3.4820000000000007
Lyle Foster,,3.95
Mads Juel Andersen,,1.46
Mads Roerslev,,0.98
Malo Gusto,,2.870000000000005
Manuel Akanji,,2.8
Marc Guehi,,2.67
Marcos Senesi,,3.210000000000006
Marcus Tavernier,,3.9289999999999985
Mark Flekken,,2.7
Martin Odegaard,,3.27
Marvelous Nakamba,,3.083000000000006
Mason Burstow,,0.77
Mateo Kovacic,,3.5600000000000036
Mathias Jensen,,3.5530000000000035
Mathias Jorgensen,,1.750000000000003
Matty Cash,,5.472
Max Aarons,,2.89
Michael Keane,,0.86
Michael Olakigbe,,0.86
Mikkel Damsgaard,,0.92
Milos Kerkez,,2.9
Mohamed Salah,,5.494999999999992
Moises Caicedo,,2.88
Moussa Diaby,,5.012999999999994
Mykhailo Mudryk,,0.96
Naouirou Ahamada,,0.82
Nathan Ake,,2.99
Nathan Collins,,3.060000000000006
Nathan Patterson,,3.990000000000005
Nathan Redmond,,1.299999999999999
Neal Maupay,,4.433000000000002
Neto,,2.5
Nicolas Jackson,,6.788999999999994
Nicolo Zaniolo,,1.5
Noni Madueke,,0.95
Odsonne Edouard,,5.968
Oleksandr Zinchenko,,1.2499999999999982
Ollie Watkins,,5.1769999999999925
Oscar Bobb,,0.97
Pau Torres,,2.72
Pelly Ruddock Mpanzu,,1.47
Phil Foden,,3.8100000000000045
Philip Billing,,4.220000000000008
Philippe Coutinho,,1.49
Raheem Sterling,,4.929000000000007
Raul Jimenez,,3.8970000000000056
Reece Burke,,2.580000000000005
Reece James,,3.5539999999999963
Reiss Nelson,,1.0
Rico Henry,,3.4800000000000026
Rico Lewis,,0.87
