,name,xP,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
2,Bryan Mbeumo,6.682,Bryan,Mbeumo,4.0,0.0,33.0,360.0,5.0,108.6,164.0,159.0,4.0,89.0,43.1,1.0,0.0,0.0,26.9,68.0,MID
6,Mohamed Salah,5.495,Mohamed,Salah,2.0,2.0,23.0,341.0,3.0,101.2,131.8,222.0,0.0,75.0,45.5,1.0,0.0,0.0,25.8,125.0,MID
9,Eberechi Eze,5.412,Eberechi,Eze,1.0,0.0,15.0,360.0,4.0,192.7,101.6,128.0,1.0,75.0,42.3,1.0,0.0,0.0,9.9,63.0,MID
10,Bukayo Saka,5.231,Bukayo,Saka,2.0,1.0,25.0,358.0,4.0,207.9,150.4,166.0,4.0,100.0,52.4,1.0,0.0,1.0,65.7,87.0,MID
15,Moussa Diaby,5.013,Moussa,Diaby,2.0,1.0,24.0,311.0,8.0,90.1,109.6,105.0,2.0,81.0,30.5,1.0,0.0,0.0,9.5,66.0,MID
16,Raheem Sterling,4.929,Raheem,Sterling,2.0,1.0,25.0,350.0,5.0,109.7,103.6,167.0,3.0,82.0,38.1,1.0,0.0,0.0,16.4,72.0,MID
19,Jordan Ayew,4.57,Jordan,Ayew,0.0,2.0,14.0,360.0,4.0,94.7,74.6,132.0,0.0,34.0,30.2,1.0,0.0,1.0,0.5,55.0,MID
20,Jack Grealish,4.519,Jack,Grealish,0.0,1.0,10.0,180.0,1.0,83.4,44.4,52.0,2.0,40.0,18.0,1.0,0.0,0.0,3.6,73.0,MID
21,Kai Havertz,4.506,Kai,Havertz,0.0,0.0,7.0,311.0,3.0,80.0,22.6,55.0,0.0,17.0,15.7,1.0,0.0,1.0,2.2,73.0,MID
23,Amadou Onana,4.347,Amadou,Onana,0.0,0.0,8.0,360.0,8.0,63.3,37.6,28.0,0.0,61.0,13.0,0.0,0.0,0.0,0.2,49.0,MID
25,Philip Billing,4.22,Philip,Billing,0.0,0.0,8.0,355.0,8.0,80.9,63.8,64.0,0.0,39.0,20.8,0.0,0.0,0.0,0.5,53.0,MID
30,John McGinn,4.11,John,McGinn,1.0,0.0,16.0,333.0,7.0,52.1,55.8,62.0,2.0,62.0,17.0,1.0,0.0,0.0,0.6,55.0,MID
34,Marcus Tavernier,3.929,Marcus,Tavernier,0.0,1.0,4.0,19.0,1.0,10.3,17.4,2.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,54.0,MID
36,Luca Koleosho,3.84,Luca,Koleosho,0.0,1.0,9.0,194.0,10.0,49.7,22.0,27.0,0.0,20.0,9.9,0.0,0.0,0.0,0.0,50.0,MID
37,Phil Foden,3.81,Phil,Foden,0.0,3.0,21.0,273.0,1.0,167.1,92.0,82.0,3.0,78.0,34.2,2.0,0.0,0.0,13.8,76.0,MID
38,Alex Iwobi,3.8,Alex,Iwobi,0.0,0.0,3.0,140.0,3.0,55.2,24.4,48.0,0.0,13.0,12.8,0.0,0.0,0.0,0.3,54.0,MID
41,Dominik Szoboszlai,3.75,Dominik,Szoboszlai,1.0,1.0,19.0,360.0,3.0,104.2,71.0,49.0,2.0,86.0,22.4,1.0,0.0,0.0,4.3,70.0,MID
44,Declan Rice,3.72,Declan,Rice,1.0,0.0,17.0,360.0,4.0,35.8,107.8,57.0,3.0,89.0,20.1,1.0,0.0,0.0,5.0,54.0,MID
45,Conor Gallagher,3.7,Conor,Gallagher,0.0,0.0,8.0,315.0,4.0,48.1,59.0,32.0,0.0,54.0,13.9,1.0,0.0,1.0,0.4,55.0,MID
46,Jeffrey Schlupp,3.64,Jeffrey,Schlupp,0.0,0.0,9.0,303.0,3.0,78.9,37.6,76.0,0.0,30.0,19.2,1.0,0.0,0.0,0.1,49.0,MID
50,Mathias Jensen,3.553,Mathias,Jensen,1.0,1.0,19.0,289.0,4.0,126.1,82.2,36.0,3.0,75.0,24.4,2.0,0.0,1.0,0.7,54.0,MID
54,Luke Harris,3.482,Luke,Harris,0.0,0.0,2.0,74.0,5.0,0.7,3.2,17.0,0.0,2.0,2.1,0.0,0.0,0.0,0.0,45.0,MID
56,Tahith Chong,3.41,Tahith,Chong,0.0,0.0,6.0,246.0,7.0,8.3,11.8,17.0,0.0,8.0,3.4,0.0,0.0,0.0,0.1,50.0,MID
64,Harry Wilson,3.19,Harry,Wilson,0.0,0.0,9.0,330.0,8.0,56.3,21.8,34.0,0.0,30.0,10.9,1.0,0.0,0.0,0.2,54.0,MID
65,Harrison Reed,3.17,Harrison,Reed,0.0,1.0,10.0,266.0,8.0,61.4,48.4,4.0,0.0,49.0,11.4,1.0,0.0,1.0,0.6,48.0,MID
67,Ryan Christie,3.17,Ryan,Christie,0.0,0.0,7.0,273.0,6.0,53.2,35.4,52.0,0.0,30.0,14.1,0.0,0.0,0.0,0.0,50.0,MID
71,James Garner,3.15,James,Garner,0.0,0.0,7.0,336.0,8.0,76.0,40.4,24.0,0.0,40.0,14.0,0.0,0.0,1.0,0.0,50.0,MID
74,Josh Cullen,3.09,Josh,Cullen,0.0,1.0,8.0,270.0,11.0,39.2,38.0,4.0,0.0,43.0,8.1,0.0,0.0,1.0,0.1,50.0,MID
76,Marvelous Nakamba,3.083,Marvelous,Nakamba,0.0,0.0,4.0,270.0,9.0,61.1,40.0,2.0,0.0,37.0,10.3,0.0,0.0,2.0,1.0,44.0,MID
81,Boubacar Kamara,2.96,Boubacar,Kamara,0.0,0.0,9.0,360.0,9.0,55.9,39.0,9.0,1.0,57.0,10.4,1.0,0.0,1.0,0.1,50.0,MID
84,Ross Barkley,2.934,Ross,Barkley,0.0,0.0,4.0,146.0,4.0,64.8,10.2,17.0,0.0,17.0,8.9,0.0,0.0,0.0,0.1,50.0,MID
86,Carney Chukwuemeka,2.93,Carney,Chukwuemeka,1.0,0.0,6.0,125.0,2.0,25.1,34.8,39.0,0.0,23.0,9.9,0.0,0.0,2.0,1.4,44.0,MID
91,Joe Rothwell,2.91,Joe,Rothwell,0.0,0.0,5.0,210.0,5.0,28.1,24.2,3.0,0.0,25.0,5.5,0.0,0.0,0.0,0.0,50.0,MID
93,Alexis Mac Allister,2.9,Alexis,Mac Allister,0.0,0.0,4.0,309.0,3.0,33.3,45.6,0.0,0.0,36.0,7.9,1.0,1.0,1.0,5.3,60.0,MID
119,David Brooks,2.695,David,Brooks,1.0,0.0,12.0,135.0,2.0,43.1,45.8,59.0,2.0,39.0,14.8,0.0,0.0,0.0,0.1,49.0,MID
121,Sander Berge,2.68,Sander,Berge,0.0,0.0,4.0,202.0,8.0,28.6,18.6,6.0,0.0,14.0,5.4,0.0,0.0,1.0,0.1,49.0,MID
122,Thomas Partey,2.68,Thomas,Partey,0.0,0.0,6.0,235.0,2.0,58.2,53.4,15.0,0.0,55.0,12.7,1.0,0.0,0.0,0.3,49.0,MID
125,Vitaly Janelt,2.66,Vitaly,Janelt,0.0,0.0,9.0,340.0,4.0,32.0,32.2,47.0,0.0,30.0,11.1,1.0,0.0,0.0,0.1,54.0,MID
139,Frank Onyeka,2.466,Frank,Onyeka,0.0,0.0,2.0,37.0,2.0,55.6,19.4,25.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,49.0,MID
144,Kevin Schade,2.13,Kevin,Schade,1.0,1.0,18.0,237.0,2.0,41.5,48.2,58.0,2.0,38.0,14.6,1.0,0.0,0.0,0.2,54.0,MID
145,Josh Brownhill,2.086530322,Josh,Brownhill,1.0,0.0,6.0,46.0,3.0,24.9,33.6,22.0,0.0,21.0,8.1,0.0,0.0,1.0,0.2,48.0,MID
146,Leon Bailey,2.08,Leon,Bailey,1.0,1.0,16.0,153.0,4.0,31.7,57.8,31.0,3.0,47.0,12.0,1.0,0.0,0.0,1.7,55.0,MID
150,Lewis Cook,1.91,Lewis,Cook,0.0,0.0,3.0,135.0,3.0,3.6,21.2,1.0,0.0,13.0,2.6,0.0,0.0,0.0,0.0,50.0,MID
153,Leandro Trossard,1.87,Leandro,Trossard,0.0,0.0,2.0,62.0,2.0,54.7,14.8,10.0,0.0,18.0,7.9,0.0,0.0,0.0,2.1,67.0,MID
157,Kevin De Bruyne,1.59,Kevin,De Bruyne,0.0,0.0,1.0,22.0,0.0,18.8,2.4,1.0,0.0,4.0,2.2,0.0,0.0,0.0,2.0,102.0,MID
164,Justin Kluivert,1.47,Justin,Kluivert,0.0,0.0,5.0,186.0,2.0,36.2,16.0,37.0,0.0,1.0,9.0,0.0,0.0,0.0,0.3,48.0,MID
