,name,season,Date_x,Day_x,Comp,Round,Venue_x,Result_x,Squad,Opponent_x,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_x,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,Date_y,Time,Day_y,Venue_y,Result_y,GF,GA,Opponent_y,xG_y,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,team_name
0,Ederson,2023/2024,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,['GK'],90,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.0,1,0,62,75,82.7,0,49,0,0,0,,,,,,,,,,,,,,,,,,,,2023-08-11,20:00,Fri,Away,W,3.0,0.0,Burnley,1.9,0.3,65.0,21572.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,Manchester City 
1,Ederson,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y,['GK'],90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.1,1,0,39,50,78.0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,2023-08-19,20:00,Sat,Home,W,1.0,0.0,Newcastle Utd,1.0,0.3,59.0,,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,Manchester City 
2,Ederson,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y,['GK'],90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,33,81.8,0,24,0,0,0,,,,,,,,,,,,,,,,,,,,2023-08-27,14:00,Sun,Away,W,2.0,1.0,Sheffield Utd,3.5,0.7,79.0,31336.0,Kyle Walker,4-2-3-1,Jarred Gillett,Match Report,,Manchester City 
3,Ederson,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,['GK'],90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,40,45,88.9,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,2023-09-02,15:00,Sat,Home,W,5.0,1.0,Fulham,2.2,1.4,68.0,52899.0,Kyle Walker,4-2-3-1,Michael Oliver,Match Report,,Manchester City 
4,Julian Alvarez,2023/2024,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,"['LM', 'AM', 'FW']",90,0,1,0,0,3,1,0,0,53.0,1.0,0,1.0,0.3,0.3,0.3,6.0,1.0,36.0,44.0,81.8,2.0,25.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-08-11,20:00,Fri,Away,W,3.0,0.0,Burnley,1.9,0.3,65.0,21572.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,Manchester City 
5,Julian Alvarez,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y,['AM'],90,1,0,0,0,1,1,1,0,40.0,1.0,0,1.0,0.1,0.1,0.1,4.0,0.0,24.0,31.0,77.4,4.0,25.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,2023-08-19,20:00,Sat,Home,W,1.0,0.0,Newcastle Utd,1.0,0.3,59.0,,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,Manchester City 
6,Julian Alvarez,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y,['AM'],90,0,0,0,0,8,3,0,0,67.0,0.0,1,3.0,0.7,0.7,0.2,3.0,0.0,34.0,52.0,65.4,4.0,44.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-08-27,14:00,Sun,Away,W,2.0,1.0,Sheffield Utd,3.5,0.7,79.0,31336.0,Kyle Walker,4-2-3-1,Jarred Gillett,Match Report,,Manchester City 
7,Julian Alvarez,2023/2024,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,['AM'],89,1,0,0,0,2,1,0,0,41.0,1.0,0,1.0,0.7,0.7,0.0,1.0,1.0,28.0,37.0,75.7,3.0,26.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2023-09-02,15:00,Sat,Home,W,5.0,1.0,Fulham,2.2,1.4,68.0,52899.0,Kyle Walker,4-2-3-1,Michael Oliver,Match Report,,Manchester City 
8,Kyle Walker,2023/2024,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,['RB'],89,0,0,0,0,0.0,0.0,0,0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,66.0,72.0,91.7,2.0,48.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,2023-08-11,20:00,Fri,Away,W,3.0,0.0,Burnley,1.9,0.3,65.0,21572.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,Manchester City 
9,Kyle Walker,2023/2024,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y*,['RB'],90,0,0,0,0,0.0,0.0,0,0,76.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,65.0,73.0,89.0,3.0,35.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2023-08-19,20:00,Sat,Home,W,1.0,0.0,Newcastle Utd,1.0,0.3,59.0,,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,Manchester City 
10,Kyle Walker,2023/2024,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y*,['RB'],90,0,0,0,0,2.0,0.0,0,0,95.0,1.0,0.0,1.0,0.0,0.0,0.3,7.0,1.0,72.0,86.0,83.7,12.0,68.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,2023-08-27,14:00,Sun,Away,W,2.0,1.0,Sheffield Utd,3.5,0.7,79.0,31336.0,Kyle Walker,4-2-3-1,Jarred Gillett,Match Report,,Manchester City 
